Old_dimtag,New_dimtag
"(2, 1)","(2, 19)"
"(2, 2)","(2, 21)"
"(2, 3)","(2, 16)"
"(2, 4)","(2, 15)"
"(2, 5)","(2, 14)"
"(2, 8)","(2, 8)"
"(2, 9)","(2, 9)"
"(2, 10)","(2, 10)"
"(2, 11)","(2, 11)"
"(2, 12)","(2, 12)"
"(2, 13)","(2, 13)"
"(3, 1)","(3, 1)"
"(3, 2)","(3, 2)"
